"fieldID","name","packageType"
219,"Holdrege-NE","Stand Count"
219,"Holdrege-NE","Third Vegetative"
219,"Holdrege-NE","Fifth Vegetative"
220,"North Platte-NE","Stand Count"
220,"North Platte-NE","Third Vegetative"
220,"North Platte-NE","Fifth Vegetative"
221,"Menomonie-WI","Stand Count"
221,"Menomonie-WI","Third Vegetative"
221,"Menomonie-WI","Fifth Vegetative"
222,"Almena-WI","Stand Count"
222,"Almena-WI","Third Vegetative"
222,"Almena-WI","Fifth Vegetative"
223,"Janesville-WI","Stand Count"
223,"Janesville-WI","Third Vegetative"
223,"Janesville-WI","Fifth Vegetative"
224,"Platteville-WI","Stand Count"
224,"Platteville-WI","Third Vegetative"
224,"Platteville-WI","Fifth Vegetative"
225,"BeaverDam-WI","Stand Count"
225,"BeaverDam-WI","Third Vegetative"
225,"BeaverDam-WI","Fifth Vegetative"
229,"Blencoe-IA","Stand Count"
229,"Blencoe-IA","Third Vegetative"
229,"Blencoe-IA","Fifth Vegetative"
230,"Worthington-MN","Stand Count"
230,"Worthington-MN","Third Vegetative"
230,"Worthington-MN","Fifth Vegetative"
231,"Watertown-SD","Stand Count"
231,"Watertown-SD","Third Vegetative"
231,"Watertown-SD","Fifth Vegetative"
232,"Mitchell-SD","Stand Count"
232,"Mitchell-SD","Third Vegetative"
232,"Mitchell-SD","Fifth Vegetative"
233,"SiouxCenter-IA","Stand Count"
233,"SiouxCenter-IA","Third Vegetative"
233,"SiouxCenter-IA","Fifth Vegetative"
234,"Vincent-IA","Stand Count"
234,"Vincent-IA","Third Vegetative"
234,"Vincent-IA","Fifth Vegetative"
236,"Britt-IA","Stand Count"
236,"Britt-IA","Third Vegetative"
236,"Britt-IA","Fifth Vegetative"
237,"Pocahontas-IA","Stand Count"
237,"Pocahontas-IA","Third Vegetative"
237,"Pocahontas-IA","Fifth Vegetative"
244,"BrownsValley-MN","Stand Count"
244,"BrownsValley-MN","Third Vegetative"
244,"BrownsValley-MN","Fifth Vegetative"
245,"Ulen-MN","Stand Count"
245,"Ulen-MN","Third Vegetative"
245,"Ulen-MN","Fifth Vegetative"
247,"FergusFalls-MN","Stand Count"
247,"FergusFalls-MN","Third Vegetative"
247,"FergusFalls-MN","Fifth Vegetative"
249,"Wakefield","Stand Count"
249,"Wakefield","Third Vegetative"
249,"Wakefield","Fifth Vegetative"
251,"Waco-NE","Stand Count"
251,"Waco-NE","Third Vegetative"
251,"Waco-NE","Fifth Vegetative"
253,"Albion","Stand Count"
253,"Albion","Third Vegetative"
253,"Albion","Fifth Vegetative"
255,"Dorchester-NE","Stand Count"
255,"Dorchester-NE","Third Vegetative"
255,"Dorchester-NE","Fifth Vegetative"
256,"Aurora","Stand Count"
256,"Aurora","Third Vegetative"
256,"Aurora","Fifth Vegetative"
258,"NorthBend","Stand Count"
258,"NorthBend","Third Vegetative"
258,"NorthBend","Fifth Vegetative"
259,"Plainview","Stand Count"
259,"Plainview","Third Vegetative"
259,"Plainview","Fifth Vegetative"
260,"Westport-MN","Stand Count"
260,"Westport-MN","Third Vegetative"
260,"Westport-MN","Fifth Vegetative"
261,"Elgin-MN","Stand Count"
261,"Elgin-MN","Third Vegetative"
261,"Elgin-MN","Fifth Vegetative"
262,"Sanborn-MN","Stand Count"
262,"Sanborn-MN","Third Vegetative"
262,"Sanborn-MN","Fifth Vegetative"
263,"Henderson-MN","Stand Count"
263,"Henderson-MN","Third Vegetative"
263,"Henderson-MN","Fifth Vegetative"
264,"Danube-MN","Stand Count"
264,"Danube-MN","Third Vegetative"
264,"Danube-MN","Fifth Vegetative"
265,"Hayfield-MN","Stand Count"
265,"Hayfield-MN","Third Vegetative"
265,"Hayfield-MN","Fifth Vegetative"
267,"Belgrade-MN","Stand Count"
267,"Belgrade-MN","Third Vegetative"
267,"Belgrade-MN","Fifth Vegetative"
268,"Truman-MN","Stand Count"
268,"Truman-MN","Third Vegetative"
268,"Truman-MN","Fifth Vegetative"
269,"Holloway-MN","Stand Count"
269,"Holloway-MN","Third Vegetative"
269,"Holloway-MN","Fifth Vegetative"
270,"Santiago-MN","Stand Count"
270,"Santiago-MN","Third Vegetative"
270,"Santiago-MN","Fifth Vegetative"
272,"BowlingGreen-MO","Stand Count"
272,"BowlingGreen-MO","Third Vegetative"
272,"BowlingGreen-MO","Fifth Vegetative"
273,"Hiawatha-KS","Stand Count"
273,"Hiawatha-KS","Third Vegetative"
273,"Hiawatha-KS","Fifth Vegetative"
274,"Arcadia-IA","Stand Count"
274,"Arcadia-IA","Third Vegetative"
274,"Arcadia-IA","Fifth Vegetative"
277,"Richland-IA","Stand Count"
277,"Richland-IA","Third Vegetative"
277,"Richland-IA","Fifth Vegetative"
278,"Pella-IA","Stand Count"
278,"Pella-IA","Third Vegetative"
278,"Pella-IA","Fifth Vegetative"
279,"Creston-IA","Stand Count"
279,"Creston-IA","Third Vegetative"
279,"Creston-IA","Fifth Vegetative"
281,"Stanwood-IA","Stand Count"
281,"Stanwood-IA","Third Vegetative"
