Date,Estimate,Stage,Historical Range
11-Apr,0 est,,0-13
12-Apr,5 est,,0-26
13-Apr,9 est,,0-46
14-Apr,14 est,,0-63
15-Apr,20 est,,0-77
16-Apr,26 est,,Mar-85
17-Apr,33 est,,Jul-94
18-Apr,39 est,Emergence,7-111
19-Apr,47 est,Emergence,8-115
20-Apr,54 est,Emergence,11-138
21-Apr,61 est,Emergence,17-161
22-Apr,66 est,Emergence,25-176
23-Apr,73 est,Emergence,26-186
24-Apr,80 est,Emergence,32-195
25-Apr,88 est,Emergence,38-199
26-Apr,97 est,Emergence,44-211
27-Apr,106 est,Emergence,44-216
28-Apr,113 est,Emergence,48-226
29-Apr,120 est,Emergence,56-239
30-Apr,128 est,Emergence,71-252
1-May,136 est,Emergence,80-263
2-May,143 est,Emergence-V2,84-274
3-May,151 est,Emergence-V2,87-287
4-May,160 est,Emergence-V2,91-303
5-May,168 est,Emergence-V2,100-312
6-May,178 est,Emergence-V2,100-323
7-May,188 est,Emergence-V2,108-336
8-May,198 est,V2,120-352
9-May,209 est,V2,134-371
10-May,221 est,V2,143-391
11-May,233 est,V2,153-405
12-May,244 est,V2,162-416
13-May,255 est,V2,177-422
14-May,265 est,V2,183-435
15-May,276 est,V2,187-439
16-May,286 est,V2-V4,199-444
17-May,298 est,V2-V4,213-453
18-May,310 est,V2-V4,229-468
19-May,323 est,V2-V4,241-487
20-May,337 est,V2-V4,248-513
21-May,350 est,V2-V4,256-529
22-May,362 est,V2-V4,266-532
23-May,376 est,V2-V4,280-540
24-May,389 est,V4,291-545
25-May,401 est,V4,300-562
26-May,412 est,V4,301-582
27-May,425 est,V4,304-597
28-May,438 est,V4-V6,307-620
29-May,451 est,V4-V6,313-641
30-May,467 est,V4-V6,323-662
31-May,483 est,V4-V6,337-684
1-Jun,498 est,V4-V6,352-707
2-Jun,514 est,V4-V6,367-720
3-Jun,528 est,V4-V6,383-733
4-Jun,542 est,V4-V6,397-747
5-Jun,556 est,V4-V6,410-769
6-Jun,571 est,V4-V8,424-792
7-Jun,589 est,V4-V8,432-819
8-Jun,607 est,V4-V8,440-842
9-Jun,625 est,V4-V8,451-858
10-Jun,642 est,V6-V8,466-870
11-Jun,661 est,V6-V8,479-891
