"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","17","2015-05-24"
"Danevang-TX","228","19","2015-05-26"
"Jones-LA","227","23","2015-05-30"
"Marianna-AR","307","27","2015-06-03"
"Risco-MO","310","37","2015-06-13"
"WalnutRidge-AR","311","44","2015-06-20"
"Jackson-TN","308","47","2015-06-23"
"WamegoIRR-KS","271","48","2015-06-24"
"Springfield-IL","283","49","2015-06-25"
"Kilbourne-IL","282","51","2015-06-27"
"Trenton-IL","285","51","2015-06-27"
"Macomb-IL","287","52","2015-06-28"
"Shipman-IL","290","52","2015-06-28"
"Waco-NE","251","53","2015-06-29"
"BowlingGreen-MO","272","53","2015-06-29"
"CerroGordo-IL","289","53","2015-06-29"
"Dorchester-NE","255","54","2015-06-30"
"Hiawatha-KS","273","55","2015-07-01"
"Richland-IA","277","55","2015-07-01"
"Stanwood-IA","281","56","2015-07-02"
"Philo-IL","284","56","2015-07-02"
"Holdrege-NE","219","58","2015-07-04"
"SiouxCenter-IA","233","58","2015-07-04"
"Aurora","256","58","2015-07-04"
"Blencoe-IA","229","59","2015-07-05"
"Albion","253","59","2015-07-05"
"NorthBend","258","59","2015-07-05"
"Pella-IA","278","60","2015-07-06"
"Wakefield","249","61","2015-07-07"
"Plainview","259","61","2015-07-07"
"North Platte-NE","220","63","2015-07-09"
"Elgin-MN","261","63","2015-07-09"
"Arcadia-IA","274","63","2015-07-09"
"Janesville-WI","223","64","2015-07-10"
"Worthington-MN","230","64","2015-07-10"
"Truman-MN","268","64","2015-07-10"
"Sanborn-MN","262","65","2015-07-11"
"Henderson-MN","263","65","2015-07-11"
"Hayfield-MN","265","66","2015-07-12"
"Menomonie-WI","221","68","2015-07-14"
