"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","0","2015-05-07"
"Jones-LA","227","0","2015-05-07"
"Danevang-TX","228","0","2015-05-07"
"WamegoIRR-KS","271","0","2015-05-07"
"Marianna-AR","307","0","2015-05-07"
"Risco-MO","310","0","2015-05-07"
"Waco-NE","251","1","2015-05-08"
"Springfield-IL","283","2","2015-05-09"
"Kilbourne-IL","282","3","2015-05-10"
"Macomb-IL","287","3","2015-05-10"
"WalnutRidge-AR","311","4","2015-05-11"
"Dorchester-NE","255","6","2015-05-13"
"SiouxCenter-IA","233","7","2015-05-14"
"Stanwood-IA","281","7","2015-05-14"
"Richland-IA","277","8","2015-05-15"
"Jackson-TN","308","10","2015-05-17"
"Holdrege-NE","219","11","2015-05-18"
"Albion","253","11","2015-05-18"
"Elgin-MN","261","11","2015-05-18"
"CerroGordo-IL","289","11","2015-05-18"
"BowlingGreen-MO","272","12","2015-05-19"
"Trenton-IL","285","12","2015-05-19"
"Shipman-IL","290","12","2015-05-19"
"Blencoe-IA","229","13","2015-05-20"
"Worthington-MN","230","13","2015-05-20"
"Aurora","256","13","2015-05-20"
"NorthBend","258","13","2015-05-20"
"Plainview","259","13","2015-05-20"
"Hiawatha-KS","273","13","2015-05-20"
"Wakefield","249","14","2015-05-21"
"Philo-IL","284","14","2015-05-21"
"North Platte-NE","220","15","2015-05-22"
"Sanborn-MN","262","15","2015-05-22"
"Henderson-MN","263","15","2015-05-22"
"Truman-MN","268","15","2015-05-22"
"Pella-IA","278","15","2015-05-22"
"Janesville-WI","223","16","2015-05-23"
"Hayfield-MN","265","16","2015-05-23"
"Arcadia-IA","274","16","2015-05-23"
"Menomonie-WI","221","17","2015-05-24"
