"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","11","2015-05-18"
"Danevang-TX","228","14","2015-05-21"
"Jones-LA","227","18","2015-05-25"
"Marianna-AR","307","22","2015-05-29"
"Risco-MO","310","32","2015-06-08"
"WalnutRidge-AR","311","38","2015-06-14"
"WamegoIRR-KS","271","42","2015-06-18"
"Jackson-TN","308","42","2015-06-18"
"Springfield-IL","283","43","2015-06-19"
"Kilbourne-IL","282","45","2015-06-21"
"Macomb-IL","287","45","2015-06-21"
"Waco-NE","251","46","2015-06-22"
"Trenton-IL","285","46","2015-06-22"
"CerroGordo-IL","289","47","2015-06-23"
"Shipman-IL","290","47","2015-06-23"
"Dorchester-NE","255","48","2015-06-24"
"BowlingGreen-MO","272","48","2015-06-24"
"Hiawatha-KS","273","49","2015-06-25"
"Richland-IA","277","49","2015-06-25"
"Stanwood-IA","281","50","2015-06-26"
"Philo-IL","284","50","2015-06-26"
"Holdrege-NE","219","52","2015-06-28"
"SiouxCenter-IA","233","52","2015-06-28"
"Aurora","256","52","2015-06-28"
"NorthBend","258","52","2015-06-28"
"Blencoe-IA","229","53","2015-06-29"
"Albion","253","53","2015-06-29"
"Pella-IA","278","54","2015-06-30"
"Wakefield","249","55","2015-07-01"
"Plainview","259","55","2015-07-01"
"North Platte-NE","220","56","2015-07-02"
"Elgin-MN","261","57","2015-07-03"
"Arcadia-IA","274","57","2015-07-03"
"Janesville-WI","223","58","2015-07-04"
"Worthington-MN","230","58","2015-07-04"
"Truman-MN","268","58","2015-07-04"
"Sanborn-MN","262","59","2015-07-05"
"Henderson-MN","263","59","2015-07-05"
"Hayfield-MN","265","60","2015-07-06"
"Menomonie-WI","221","61","2015-07-07"
