"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","0","2015-05-07"
"Jones-LA","227","0","2015-05-07"
"Danevang-TX","228","0","2015-05-07"
"Marianna-AR","307","0","2015-05-07"
"Risco-MO","310","7","2015-05-14"
"WamegoIRR-KS","271","17","2015-05-24"
"WalnutRidge-AR","311","17","2015-05-24"
"Springfield-IL","283","18","2015-05-25"
"Waco-NE","251","19","2015-05-26"
"Kilbourne-IL","282","19","2015-05-26"
"Macomb-IL","287","19","2015-05-26"
"Jackson-TN","308","21","2015-05-28"
"Dorchester-NE","255","22","2015-05-29"
"Stanwood-IA","281","22","2015-05-29"
"SiouxCenter-IA","233","23","2015-05-30"
"Richland-IA","277","23","2015-05-30"
"Trenton-IL","285","23","2015-05-30"
"CerroGordo-IL","289","23","2015-05-30"
"Shipman-IL","290","23","2015-05-30"
"BowlingGreen-MO","272","24","2015-05-31"
"Hiawatha-KS","273","25","2015-06-01"
"Philo-IL","284","25","2015-06-01"
"Holdrege-NE","219","26","2015-06-02"
"Blencoe-IA","229","26","2015-06-02"
"Albion","253","26","2015-06-02"
"Aurora","256","27","2015-06-03"
"NorthBend","258","27","2015-06-03"
"Elgin-MN","261","27","2015-06-03"
"Wakefield","249","28","2015-06-04"
"Plainview","259","28","2015-06-04"
"Pella-IA","278","28","2015-06-04"
"Worthington-MN","230","29","2015-06-05"
"North Platte-NE","220","30","2015-06-06"
"Janesville-WI","223","30","2015-06-06"
"Truman-MN","268","30","2015-06-06"
"Arcadia-IA","274","30","2015-06-06"
"Sanborn-MN","262","31","2015-06-07"
"Henderson-MN","263","31","2015-06-07"
"Hayfield-MN","265","31","2015-06-07"
"Menomonie-WI","221","33","2015-06-09"
