"name","fieldID","dayTill","Imaging-Date"
"SiouxCenter-IA","233","0","2015-05-13"
"Waco-NE","251","0","2015-05-13"
"Dorchester-NE","255","0","2015-05-13"
"Elgin-MN","261","0","2015-05-13"
"BowlingGreen-MO","272","0","2015-05-13"
"Richland-IA","277","0","2015-05-13"
"Stanwood-IA","281","0","2015-05-13"
"Kilbourne-IL","282","0","2015-05-13"
"Springfield-IL","283","0","2015-05-13"
"Philo-IL","284","0","2015-05-13"
"Trenton-IL","285","0","2015-05-13"
"Macomb-IL","287","0","2015-05-13"
"CerroGordo-IL","289","0","2015-05-13"
"Shipman-IL","290","0","2015-05-13"
"FtBranch-IN","293","0","2015-05-13"
"Franklin-IN","304","0","2015-05-13"
"Effingham-IL","286","1","2015-05-14"
"Austin-IN","297","1","2015-05-14"
"Pella-IA","278","2","2015-05-15"
"Hiawatha-KS","273","3","2015-05-16"
"Blencoe-IA","229","4","2015-05-17"
"Worthington-MN","230","4","2015-05-17"
"Holdrege-NE","219","5","2015-05-18"
"Albion","253","5","2015-05-18"
"Arcadia-IA","274","5","2015-05-18"
"Farmersburg-IN","296","5","2015-05-18"
"Janesville-WI","223","6","2015-05-19"
"Platteville-WI","224","6","2015-05-19"
"Wakefield","249","6","2015-05-19"
"NorthBend","258","6","2015-05-19"
"Plainview","259","6","2015-05-19"
"Sanborn-MN","262","6","2015-05-19"
"Henderson-MN","263","6","2015-05-19"
"Hayfield-MN","265","6","2015-05-19"
"Truman-MN","268","6","2015-05-19"
"Mitchell-SD","232","7","2015-05-20"
"Vincent-IA","234","7","2015-05-20"
"Aurora","256","7","2015-05-20"
"Menomonie-WI","221","8","2015-05-21"
"BrownsValley-MN","244","9","2015-05-22"
"North Platte-NE","220","10","2015-05-23"
"FergusFalls-MN","247","10","2015-05-23"
"Ulen-MN","245","11","2015-05-24"
"Almena-WI","222","12","2015-05-25"
"BeaverDam-WI","225","12","2015-05-25"
"Creston-IA","279","12","2015-05-25"
"Britt-IA","236","13","2015-05-26"
"Pocahontas-IA","237","13","2015-05-26"
"Watertown-SD","231","16","2015-05-29"
