"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","0","2015-05-07"
"Danevang-TX","228","4","2015-05-11"
"Jones-LA","227","6","2015-05-13"
"Marianna-AR","307","12","2015-05-19"
"Risco-MO","310","22","2015-05-29"
"WalnutRidge-AR","311","29","2015-06-05"
"WamegoIRR-KS","271","31","2015-06-07"
"Springfield-IL","283","32","2015-06-08"
"Jackson-TN","308","32","2015-06-08"
"Kilbourne-IL","282","34","2015-06-10"
"Macomb-IL","287","34","2015-06-10"
"Waco-NE","251","35","2015-06-11"
"Trenton-IL","285","36","2015-06-12"
"Dorchester-NE","255","37","2015-06-13"
"CerroGordo-IL","289","37","2015-06-13"
"Shipman-IL","290","37","2015-06-13"
"BowlingGreen-MO","272","38","2015-06-14"
"Richland-IA","277","38","2015-06-14"
"Hiawatha-KS","273","39","2015-06-15"
"Stanwood-IA","281","39","2015-06-15"
"Philo-IL","284","40","2015-06-16"
"Holdrege-NE","219","41","2015-06-17"
"SiouxCenter-IA","233","41","2015-06-17"
"Blencoe-IA","229","42","2015-06-18"
"Albion","253","42","2015-06-18"
"Aurora","256","42","2015-06-18"
"NorthBend","258","42","2015-06-18"
"Pella-IA","278","43","2015-06-19"
"Wakefield","249","44","2015-06-20"
"Plainview","259","44","2015-06-20"
"North Platte-NE","220","45","2015-06-21"
"Elgin-MN","261","45","2015-06-21"
"Janesville-WI","223","46","2015-06-22"
"Worthington-MN","230","46","2015-06-22"
"Truman-MN","268","46","2015-06-22"
"Arcadia-IA","274","46","2015-06-22"
"Sanborn-MN","262","47","2015-06-23"
"Henderson-MN","263","48","2015-06-24"
"Hayfield-MN","265","48","2015-06-24"
"Menomonie-WI","221","50","2015-06-26"
