"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Rogers-TX","226","2015-03-28","40","0","2015-05-07","Stand Count"
"Jones-LA","227","2015-03-30","38","0","2015-05-07","Stand Count"
"Danevang-TX","228","2015-04-07","30","0","2015-05-07","Stand Count"
"Waco-NE","251","2015-04-16","21","0","2015-05-07","Stand Count"
"WamegoIRR-KS","271","2015-04-15","22","0","2015-05-07","Stand Count"
"Kilbourne-IL","282","2015-04-15","22","0","2015-05-07","Stand Count"
"Springfield-IL","283","2015-04-14","23","0","2015-05-07","Stand Count"
"Macomb-IL","287","2015-04-16","21","0","2015-05-07","Stand Count"
"Marianna-AR","307","2015-03-31","37","0","2015-05-07","Stand Count"
"Risco-MO","310","2015-04-11","26","0","2015-05-07","Stand Count"
"SiouxCenter-IA","233","2015-04-17","21","1","2015-05-08","Stand Count"
"Dorchester-NE","255","2015-04-22","16","1","2015-05-08","Stand Count"
"Stanwood-IA","281","2015-04-16","23","2","2015-05-09","Stand Count"
"WalnutRidge-AR","311","2015-04-23","16","2","2015-05-09","Stand Count"
"Richland-IA","277","2015-04-17","23","3","2015-05-10","Stand Count"
"Elgin-MN","261","2015-04-17","25","5","2015-05-12","Stand Count"
"Holdrege-NE","219","2015-04-28","15","6","2015-05-13","Stand Count"
"CerroGordo-IL","289","2015-04-23","20","6","2015-05-13","Stand Count"
"Albion","253","2015-04-27","17","7","2015-05-14","Stand Count"
"BowlingGreen-MO","272","2015-04-28","16","7","2015-05-14","Stand Count"
"Trenton-IL","285","2015-04-29","15","7","2015-05-14","Stand Count"
"Shipman-IL","290","2015-04-28","16","7","2015-05-14","Stand Count"
"Jackson-TN","308","2015-05-01","13","7","2015-05-14","Stand Count"
"Blencoe-IA","229","2015-04-27","19","9","2015-05-16","Stand Count"
"Worthington-MN","230","2015-04-23","23","9","2015-05-16","Stand Count"
"NorthBend","258","2015-04-30","16","9","2015-05-16","Stand Count"
"Plainview","259","2015-04-29","17","9","2015-05-16","Stand Count"
"Aurora","256","2015-05-01","16","10","2015-05-17","Stand Count"
"Hiawatha-KS","273","2015-05-01","16","10","2015-05-17","Stand Count"
"Philo-IL","284","2015-04-30","17","10","2015-05-17","Stand Count"
"North Platte-NE","220","2015-05-01","17","11","2015-05-18","Stand Count"
"Wakefield","249","2015-04-29","19","11","2015-05-18","Stand Count"
"Sanborn-MN","262","2015-04-27","21","11","2015-05-18","Stand Count"
"Henderson-MN","263","2015-04-23","25","11","2015-05-18","Stand Count"
"Truman-MN","268","2015-04-28","20","11","2015-05-18","Stand Count"
"Hayfield-MN","265","2015-04-28","21","12","2015-05-19","Stand Count"
"Pella-IA","278","2015-04-30","19","12","2015-05-19","Stand Count"
"Menomonie-WI","221","2015-04-30","20","13","2015-05-20","Stand Count"
"Janesville-WI","223","2015-04-29","21","13","2015-05-20","Stand Count"
"Arcadia-IA","274","2015-04-29","21","13","2015-05-20","Stand Count"
"","","","","","",""
"Rogers-TX","226","2015-03-28","40","0","2015-05-07","First Vegetative"
"Jones-LA","227","2015-03-30","38","0","2015-05-07","First Vegetative"
"Danevang-TX","228","2015-04-07","30","0","2015-05-07","First Vegetative"
"WamegoIRR-KS","271","2015-04-15","22","0","2015-05-07","First Vegetative"
"Marianna-AR","307","2015-03-31","37","0","2015-05-07","First Vegetative"
"Risco-MO","310","2015-04-11","26","0","2015-05-07","First Vegetative"
"Waco-NE","251","2015-04-16","22","1","2015-05-08","First Vegetative"
"Springfield-IL","283","2015-04-14","25","2","2015-05-09","First Vegetative"
"Kilbourne-IL","282","2015-04-15","25","3","2015-05-10","First Vegetative"
"Macomb-IL","287","2015-04-16","24","3","2015-05-10","First Vegetative"
"WalnutRidge-AR","311","2015-04-23","18","4","2015-05-11","First Vegetative"
"Dorchester-NE","255","2015-04-22","21","6","2015-05-13","First Vegetative"
"SiouxCenter-IA","233","2015-04-17","27","7","2015-05-14","First Vegetative"
"Stanwood-IA","281","2015-04-16","28","7","2015-05-14","First Vegetative"
"Richland-IA","277","2015-04-17","28","8","2015-05-15","First Vegetative"
"Jackson-TN","308","2015-05-01","16","10","2015-05-17","First Vegetative"
"Holdrege-NE","219","2015-04-28","20","11","2015-05-18","First Vegetative"
"Albion","253","2015-04-27","21","11","2015-05-18","First Vegetative"
"Elgin-MN","261","2015-04-17","31","11","2015-05-18","First Vegetative"
"CerroGordo-IL","289","2015-04-23","25","11","2015-05-18","First Vegetative"
"BowlingGreen-MO","272","2015-04-28","21","12","2015-05-19","First Vegetative"
"Trenton-IL","285","2015-04-29","20","12","2015-05-19","First Vegetative"
"Shipman-IL","290","2015-04-28","21","12","2015-05-19","First Vegetative"
"Blencoe-IA","229","2015-04-27","23","13","2015-05-20","First Vegetative"
"Worthington-MN","230","2015-04-23","27","13","2015-05-20","First Vegetative"
"Aurora","256","2015-05-01","19","13","2015-05-20","First Vegetative"
"NorthBend","258","2015-04-30","20","13","2015-05-20","First Vegetative"
"Plainview","259","2015-04-29","21","13","2015-05-20","First Vegetative"
"Hiawatha-KS","273","2015-05-01","19","13","2015-05-20","First Vegetative"
"Wakefield","249","2015-04-29","22","14","2015-05-21","First Vegetative"
"Philo-IL","284","2015-04-30","21","14","2015-05-21","First Vegetative"
"North Platte-NE","220","2015-05-01","21","15","2015-05-22","First Vegetative"
"Sanborn-MN","262","2015-04-27","25","15","2015-05-22","First Vegetative"
"Henderson-MN","263","2015-04-23","29","15","2015-05-22","First Vegetative"
"Truman-MN","268","2015-04-28","24","15","2015-05-22","First Vegetative"
"Pella-IA","278","2015-04-30","22","15","2015-05-22","First Vegetative"
"Janesville-WI","223","2015-04-29","24","16","2015-05-23","First Vegetative"
"Hayfield-MN","265","2015-04-28","25","16","2015-05-23","First Vegetative"
"Arcadia-IA","274","2015-04-29","24","16","2015-05-23","First Vegetative"
"Menomonie-WI","221","2015-04-30","24","17","2015-05-24","First Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","40","0","2015-05-07","Second Vegetative"
"Jones-LA","227","2015-03-30","38","0","2015-05-07","Second Vegetative"
"Danevang-TX","228","2015-04-07","30","0","2015-05-07","Second Vegetative"
