"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"Waco-NE","251","2015-04-16","22","0","2015-05-08","Stand Count"
"Richland-IA","277","2015-04-17","21","0","2015-05-08","Stand Count"
"Stanwood-IA","281","2015-04-16","22","0","2015-05-08","Stand Count"
"Kilbourne-IL","282","2015-04-15","23","0","2015-05-08","Stand Count"
"Springfield-IL","283","2015-04-14","24","0","2015-05-08","Stand Count"
"Macomb-IL","287","2015-04-16","22","0","2015-05-08","Stand Count"
"SiouxCenter-IA","233","2015-04-17","23","2","2015-05-10","Stand Count"
"Dorchester-NE","255","2015-04-22","18","2","2015-05-10","Stand Count"
"CerroGordo-IL","289","2015-04-23","17","2","2015-05-10","Stand Count"
"Shipman-IL","290","2015-04-28","13","3","2015-05-11","Stand Count"
"BowlingGreen-MO","272","2015-04-28","14","4","2015-05-12","Stand Count"
"Trenton-IL","285","2015-04-29","13","4","2015-05-12","Stand Count"
"Elgin-MN","261","2015-04-17","27","6","2015-05-14","Stand Count"
"Philo-IL","284","2015-04-30","14","6","2015-05-14","Stand Count"
"Blencoe-IA","229","2015-04-27","19","8","2015-05-16","Stand Count"
"Hiawatha-KS","273","2015-05-01","15","8","2015-05-16","Stand Count"
"Holdrege-NE","219","2015-04-28","19","9","2015-05-17","Stand Count"
"Worthington-MN","230","2015-04-23","24","9","2015-05-17","Stand Count"
"Albion","253","2015-04-27","20","9","2015-05-17","Stand Count"
"NorthBend","258","2015-04-30","18","10","2015-05-18","Stand Count"
"Pella-IA","278","2015-04-30","18","10","2015-05-18","Stand Count"
"Wakefield","249","2015-04-29","20","11","2015-05-19","Stand Count"
"Aurora","256","2015-05-01","18","11","2015-05-19","Stand Count"
"Plainview","259","2015-04-29","20","11","2015-05-19","Stand Count"
"Sanborn-MN","262","2015-04-27","22","11","2015-05-19","Stand Count"
"Henderson-MN","263","2015-04-23","26","11","2015-05-19","Stand Count"
"Truman-MN","268","2015-04-28","21","11","2015-05-19","Stand Count"
"Arcadia-IA","274","2015-04-29","20","11","2015-05-19","Stand Count"
"Janesville-WI","223","2015-04-29","21","12","2015-05-20","Stand Count"
"Hayfield-MN","265","2015-04-28","22","12","2015-05-20","Stand Count"
"Menomonie-WI","221","2015-04-30","21","13","2015-05-21","Stand Count"
"North Platte-NE","220","2015-05-01","21","14","2015-05-22","Stand Count"
"","","","","","",""
"Springfield-IL","283","2015-04-14","53","29","2015-06-06","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","54","31","2015-06-08","Third Vegetative"
"Trenton-IL","285","2015-04-29","42","33","2015-06-10","Third Vegetative"
"Macomb-IL","287","2015-04-16","55","33","2015-06-10","Third Vegetative"
"Shipman-IL","290","2015-04-28","44","34","2015-06-11","Third Vegetative"
"Waco-NE","251","2015-04-16","57","35","2015-06-12","Third Vegetative"
"BowlingGreen-MO","272","2015-04-28","45","35","2015-06-12","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","50","35","2015-06-12","Third Vegetative"
"Richland-IA","277","2015-04-17","57","36","2015-06-13","Third Vegetative"
"Dorchester-NE","255","2015-04-22","53","37","2015-06-14","Third Vegetative"
"Stanwood-IA","281","2015-04-16","59","37","2015-06-14","Third Vegetative"
"Philo-IL","284","2015-04-30","45","37","2015-06-14","Third Vegetative"
"Hiawatha-KS","273","2015-05-01","45","38","2015-06-15","Third Vegetative"
"2105-MORGAN","372","2015-04-15","61","38","2015-06-15","Third Vegetative"
"2084-SMITH","433","2015-04-14","62","38","2015-06-15","Third Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","61","38","2015-06-15","Third Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","61","38","2015-06-15","Third Vegetative"
"2084S-DEETER","497","2015-04-14","62","38","2015-06-15","Third Vegetative"
"2092-BAILEY WEST","388","2015-04-17","60","39","2015-06-16","Third Vegetative"
"2096-WILLIAMS","391","2015-04-16","61","39","2015-06-16","Third Vegetative"
"3208-STOOKEY","395","2015-04-17","60","39","2015-06-16","Third Vegetative"
"3250-BAILEY HOME","396","2015-04-17","60","39","2015-06-16","Third Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","60","39","2015-06-16","Third Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","60","39","2015-06-16","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","61","40","2015-06-17","Third Vegetative"
"2117-NEFF SYRACUSE","368","2015-04-17","61","40","2015-06-17","Third Vegetative"
"3218-BAUM","438","2015-04-18","60","40","2015-06-17","Third Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","61","40","2015-06-17","Third Vegetative"
"Blencoe-IA","229","2015-04-27","52","41","2015-06-18","Third Vegetative"
"Pella-IA","278","2015-04-30","49","41","2015-06-18","Third Vegetative"
"2087-TOM N","385","2015-04-27","52","41","2015-06-18","Third Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","55","41","2015-06-18","Third Vegetative"
"Holdrege-NE","219","2015-04-28","52","42","2015-06-19","Third Vegetative"
"Aurora","256","2015-05-01","49","42","2015-06-19","Third Vegetative"
"NorthBend","258","2015-04-30","50","42","2015-06-19","Third Vegetative"
"2131-BURBRINK","365","2015-05-02","48","42","2015-06-19","Third Vegetative"
"2101-FISHER CLAY","366","2015-04-30","50","42","2015-06-19","Third Vegetative"
"2100-FISHER MUCK","477","2015-05-01","49","42","2015-06-19","Third Vegetative"
"2132-ROWLAND","491","2015-05-02","48","42","2015-06-19","Third Vegetative"
"Albion","253","2015-04-27","54","43","2015-06-20","Third Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","48","43","2015-06-20","Third Vegetative"
"2091-BAILEY","363","2015-05-03","48","43","2015-06-20","Third Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","49","43","2015-06-20","Third Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","49","43","2015-06-20","Third Vegetative"
"2128-MARTINWOOD","405","2015-05-03","48","43","2015-06-20","Third Vegetative"
"2082-NUSSBAUM","414","2015-05-04","47","43","2015-06-20","Third Vegetative"
"2099-MARTIN DUTCHTOWN","452","2015-05-03","48","43","2015-06-20","Third Vegetative"
"Wakefield","249","2015-04-29","53","44","2015-06-21","Third Vegetative"
"Elgin-MN","261","2015-04-17","65","44","2015-06-21","Third Vegetative"
"Arcadia-IA","274","2015-04-29","53","44","2015-06-21","Third Vegetative"
"2127-MARTINWOOD","357","2015-05-04","48","44","2015-06-21","Third Vegetative"
"Plainview","259","2015-04-29","54","45","2015-06-22","Third Vegetative"
"Janesville-WI","223","2015-04-29","55","46","2015-06-23","Third Vegetative"
"Worthington-MN","230","2015-04-23","61","46","2015-06-23","Third Vegetative"
"Truman-MN","268","2015-04-28","56","46","2015-06-23","Third Vegetative"
"North Platte-NE","220","2015-05-01","54","47","2015-06-24","Third Vegetative"
"Sanborn-MN","262","2015-04-27","58","47","2015-06-24","Third Vegetative"
"Henderson-MN","263","2015-04-23","62","47","2015-06-24","Third Vegetative"
"Hayfield-MN","265","2015-04-28","57","47","2015-06-24","Third Vegetative"
"Menomonie-WI","221","2015-04-30","58","50","2015-06-27","Third Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","70","46","2015-06-23","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","71","48","2015-06-25","Fifth Vegetative"
"Trenton-IL","285","2015-04-29","58","49","2015-06-26","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","72","50","2015-06-27","Fifth Vegetative"
"Shipman-IL","290","2015-04-28","60","50","2015-06-27","Fifth Vegetative"
"BowlingGreen-MO","272","2015-04-28","61","51","2015-06-28","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","66","51","2015-06-28","Fifth Vegetative"
"Waco-NE","251","2015-04-16","75","53","2015-06-30","Fifth Vegetative"
"Hiawatha-KS","273","2015-05-01","60","53","2015-06-30","Fifth Vegetative"
"Richland-IA","277","2015-04-17","74","53","2015-06-30","Fifth Vegetative"
"Philo-IL","284","2015-04-30","61","53","2015-06-30","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","70","54","2015-07-01","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","77","55","2015-07-02","Fifth Vegetative"
"2084-SMITH","433","2015-04-14","79","55","2015-07-02","Fifth Vegetative"
"2084S-DEETER","497","2015-04-14","79","55","2015-07-02","Fifth Vegetative"
"2105-MORGAN","372","2015-04-15","79","56","2015-07-03","Fifth Vegetative"
"2096-WILLIAMS","391","2015-04-16","78","56","2015-07-03","Fifth Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","79","56","2015-07-03","Fifth Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","79","56","2015-07-03","Fifth Vegetative"
"2117-NEFF SYRACUSE","368","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"2092-BAILEY WEST","388","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"3208-STOOKEY","395","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"3250-BAILEY HOME","396","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"3218-BAUM","438","2015-04-18","77","57","2015-07-04","Fifth Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","78","57","2015-07-04","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","69","58","2015-07-05","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","79","58","2015-07-05","Fifth Vegetative"
"Pella-IA","278","2015-04-30","66","58","2015-07-05","Fifth Vegetative"
"Holdrege-NE","219","2015-04-28","69","59","2015-07-06","Fifth Vegetative"
"Aurora","256","2015-05-01","66","59","2015-07-06","Fifth Vegetative"
"NorthBend","258","2015-04-30","67","59","2015-07-06","Fifth Vegetative"
"2101-FISHER CLAY","366","2015-04-30","67","59","2015-07-06","Fifth Vegetative"
"2087-TOM N","385","2015-04-27","70","59","2015-07-06","Fifth Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","73","59","2015-07-06","Fifth Vegetative"
"2100-FISHER MUCK","477","2015-05-01","66","59","2015-07-06","Fifth Vegetative"
"Albion","253","2015-04-27","71","60","2015-07-07","Fifth Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","65","60","2015-07-07","Fifth Vegetative"
"2091-BAILEY","363","2015-05-03","65","60","2015-07-07","Fifth Vegetative"
"2131-BURBRINK","365","2015-05-02","66","60","2015-07-07","Fifth Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","66","60","2015-07-07","Fifth Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","66","60","2015-07-07","Fifth Vegetative"
"2128-MARTINWOOD","405","2015-05-03","65","60","2015-07-07","Fifth Vegetative"
"2099-MARTIN DUTCHTOWN","452","2015-05-03","65","60","2015-07-07","Fifth Vegetative"
"2132-ROWLAND","491","2015-05-02","66","60","2015-07-07","Fifth Vegetative"
"Wakefield","249","2015-04-29","70","61","2015-07-08","Fifth Vegetative"
"2127-MARTINWOOD","357","2015-05-04","65","61","2015-07-08","Fifth Vegetative"
"2082-NUSSBAUM","414","2015-05-04","65","61","2015-07-08","Fifth Vegetative"
"Plainview","259","2015-04-29","71","62","2015-07-09","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","83","62","2015-07-09","Fifth Vegetative"
"Arcadia-IA","274","2015-04-29","71","62","2015-07-09","Fifth Vegetative"
"Janesville-WI","223","2015-04-29","72","63","2015-07-10","Fifth Vegetative"
"Truman-MN","268","2015-04-28","73","63","2015-07-10","Fifth Vegetative"
"North Platte-NE","220","2015-05-01","71","64","2015-07-11","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","79","64","2015-07-11","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","76","65","2015-07-12","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","80","65","2015-07-12","Fifth Vegetative"
"Hayfield-MN","265","2015-04-28","75","65","2015-07-12","Fifth Vegetative"
"Menomonie-WI","221","2015-04-30","76","68","2015-07-15","Fifth Vegetative"
"","","","","","",""
"2105-MORGAN","372","2015-04-15","30","7","2015-05-15","First Vegetative"
"2084-SMITH","433","2015-04-14","31","7","2015-05-15","First Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","30","7","2015-05-15","First Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","30","7","2015-05-15","First Vegetative"
"2084S-DEETER","497","2015-04-14","31","7","2015-05-15","First Vegetative"
"2096-WILLIAMS","391","2015-04-16","30","8","2015-05-16","First Vegetative"
"2092-BAILEY WEST","388","2015-04-17","30","9","2015-05-17","First Vegetative"
"3208-STOOKEY","395","2015-04-17","30","9","2015-05-17","First Vegetative"
"3250-BAILEY HOME","396","2015-04-17","30","9","2015-05-17","First Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","30","9","2015-05-17","First Vegetative"
"2117-NEFF SYRACUSE","368","2015-04-17","31","10","2015-05-18","First Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","31","10","2015-05-18","First Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","31","10","2015-05-18","First Vegetative"
"3218-BAUM","438","2015-04-18","31","11","2015-05-19","First Vegetative"
"2087-TOM N","385","2015-04-27","24","13","2015-05-21","First Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","27","13","2015-05-21","First Vegetative"
"2101-FISHER CLAY","366","2015-04-30","22","14","2015-05-22","First Vegetative"
"2100-FISHER MUCK","477","2015-05-01","21","14","2015-05-22","First Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","20","15","2015-05-23","First Vegetative"
"2131-BURBRINK","365","2015-05-02","21","15","2015-05-23","First Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","21","15","2015-05-23","First Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","21","15","2015-05-23","First Vegetative"
"2132-ROWLAND","491","2015-05-02","21","15","2015-05-23","First Vegetative"
"2091-BAILEY","363","2015-05-03","21","16","2015-05-24","First Vegetative"
"2128-MARTINWOOD","405","2015-05-03","21","16","2015-05-24","First Vegetative"
