"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"Springfield-IL","283","2015-04-14","28","-13","2015-05-12","Stand Count","","","","","","","","","","","","","","",""
"Kilbourne-IL","282","2015-04-15","28","-12","2015-05-13","Stand Count","","","","","","","","","","","","","","",""
"Macomb-IL","287","2015-04-16","28","-11","2015-05-14","Stand Count","","","","","","","","","","","","","","",""
"Trenton-IL","285","2015-04-29","18","-8","2015-05-17","Stand Count","","","","","","","","","","","","","","",""
"Shipman-IL","290","2015-04-28","19","-8","2015-05-17","Stand Count","","","","","","","","","","","","","","",""
"CerroGordo-IL","289","2015-04-23","25","-7","2015-05-18","Stand Count","","","","","","","","","","","","","","",""
"BowlingGreen-MO","272","2015-04-28","20","-7","2015-05-18","Stand Count","","","","","","","","","","","","","","",""
"FtBranch-IN","293","2015-05-01","17","-7","2015-05-18","Stand Count","","","","","","","","","","","","","","",""
"Perrysville-IN","294","2015-04-29","19","-7","2015-05-18","Stand Count","","","","","","","","","","","","","","",""
"Waco-NE","251","2015-04-16","33","-6","2015-05-19","Stand Count","","","","","","","","","","","","","","",""
"Richland-IA","277","2015-04-17","32","-6","2015-05-19","Stand Count","","","","","","","","","","","","","","",""
"Philo-IL","284","2015-04-30","20","-5","2015-05-20","Stand Count","","","","","","","","","","","","","","",""
"Stanwood-IA","281","2015-04-16","34","-5","2015-05-20","Stand Count","","","","","","","","","","","","","","",""
"Effingham-IL","286","2015-05-05","18","-2","2015-05-23","Stand Count","","","","","","","","","","","","","","",""
"Austin-IN","297","2015-05-05","18","-2","2015-05-23","Stand Count","","","","","","","","","","","","","","",""
"Franklin-IN","304","2015-05-04","19","-2","2015-05-23","Stand Count","","","","","","","","","","","","","","",""
"Dorchester-NE","255","2015-04-22","32","-1","2015-05-24","Stand Count","","","","","","","","","","","","","","",""
"Demotte-IN","300","2015-04-28","26","-1","2015-05-24","Stand Count","","","","","","","","","","","","","","",""
"Blencoe-IA","229","2015-04-27","28","0","2015-05-25","Stand Count",NA,NA,NA,"82","72","68","71","65","61","22","24","27","67","69","68"
"Hiawatha-KS","273","2015-05-01","24","0","2015-05-25","Stand Count",NA,NA,NA,"71","69","64","49","35","45","47","38","40","74","74","72"
