"id","field_id","date","t_max","t_min","precip"
NA,"230",2015-04-22,"8.1","-3.3","0"
NA,"231",2015-04-22,"8.2","-3.6","0"
NA,"232",2015-04-22,"10.6","-4.2","0"
NA,"242",2015-04-22,"3.6","-4.2","0.4"
NA,"243",2015-04-22,"7.2","-5.4","0"
NA,"244",2015-04-22,"7.2","-2.2","0"
NA,"245",2015-04-22,"4.7","-4.2","0"
NA,"246",2015-04-22,"6.1","-4.2","0"
NA,"247",2015-04-22,"5.6","-4.2","0"
NA,"260",2015-04-22,"5.2","-4.2","0"
NA,"262",2015-04-22,"6.9","-4.1","0"
NA,"264",2015-04-22,"6.2","-4","0"
NA,"267",2015-04-22,"5.3","-4.2","0"
NA,"269",2015-04-22,"6.6","-3.7","0"
NA,"312",2015-04-22,"10.4","-6.6","0"
NA,"313",2015-04-22,"9.7","-4.2","0"
NA,"314",2015-04-22,"7.5","-3.4","0"
NA,"315",2015-04-22,"10.2","-4.2","0"
NA,"316",2015-04-22,"8.3","-4.2","0"
NA,"317",2015-04-22,"12.4","-4.2","0"
NA,"221",2015-04-22,"6.1","-1.2","0.9"
NA,"222",2015-04-22,"4.7","-1.7","2.1"
NA,"224",2015-04-22,"7.6","0.9","0"
NA,"225",2015-04-22,"5.5","-1.2","0.8"
NA,"234",2015-04-22,"11.4","-1.4","0"
NA,"235",2015-04-22,"12","-1.1","0"
NA,"236",2015-04-22,"9.4","-1.6","0"
NA,"237",2015-04-22,"11.4","-1.2","0"
NA,"238",2015-04-22,"5.2","-1.1","0.8"
NA,"239",2015-04-22,"5.1","-0.8","0.2"
NA,"261",2015-04-22,"5.9","0.1","1.2"
NA,"263",2015-04-22,"5.8","-1.9","0"
NA,"265",2015-04-22,"5.1","-2.6","0.2"
NA,"266",2015-04-22,"5.1","0","0.1"
NA,"268",2015-04-22,"7.7","-1.6","0"
NA,"270",2015-04-22,"5.4","-1.4","0.7"
NA,"272",2015-04-22,"18.8","4.2","0"
NA,"275",2015-04-22,"7.5","-1.2","0"
NA,"277",2015-04-22,"14.6","-0.9","0"
NA,"278",2015-04-22,"13.8","-0.5","0.1"
NA,"279",2015-04-22,"14.8","-2","0"
NA,"280",2015-04-22,"8.7","0","0"
NA,"281",2015-04-22,"11.4","0.6","0"
NA,"287",2015-04-22,"16.9","0.8","0.2"
NA,"288",2015-04-22,"12.9","0.6","0"
NA,"223",2015-04-22,"7.5","0.1","0.2"
NA,"240",2015-04-22,"13.6","2.8","1"
NA,"241",2015-04-22,"14.1","3","1.5"
NA,"282",2015-04-22,"16.7","1.8","0.3"
NA,"283",2015-04-22,"17.3","2.6","0.4"
NA,"284",2015-04-22,"15.1","2.1","2.7"
NA,"285",2015-04-22,"18.9","5.2","0"
NA,"286",2015-04-22,"16.3","4.5","0"
NA,"289",2015-04-22,"15.5","2.5","0.9"
NA,"290",2015-04-22,"18.7","4.2","0"
NA,"291",2015-04-22,"12.8","0.4","0"
NA,"292",2015-04-22,"11.1","0.2","0"
NA,"293",2015-04-22,"16.3","8","0"
NA,"294",2015-04-22,"15.3","2","3.9"
NA,"295",2015-04-22,"11","1.4","0"
NA,"296",2015-04-22,"15.6","4.8","0"
NA,"297",2015-04-22,"17.3","6","0.9"
NA,"298",2015-04-22,"11.7","1.6","0"
NA,"299",2015-04-22,"12.9","0.6","0"
NA,"300",2015-04-22,"12.5","0.5","0"
NA,"301",2015-04-22,"14","1.7","2.1"
NA,"302",2015-04-22,"12.2","2.2","0"
NA,"303",2015-04-22,"11.5","3.4","1.7"
NA,"304",2015-04-22,"16","4.7","2.1"
NA,"305",2015-04-22,"14.3","1.5","2.1"
NA,"306",2015-04-22,"14.8","3.6","3.2"
NA,"308",2015-04-22,"22.1","7.7","0"
NA,"309",2015-04-22,"21.3","8.4","1.7"
NA,"310",2015-04-22,"21.5","8.6","7.5"
NA,"226",2015-04-22,"26.5","13","0"
NA,"227",2015-04-22,"23.3","9.2","0"
NA,"228",2015-04-22,"25.7","13.7","0"
NA,"307",2015-04-22,"22.2","8.6","0"
NA,"311",2015-04-22,"22.3","8.4","1.1"
NA,"219",2015-04-22,"20.4","-1.6","0"
NA,"220",2015-04-22,"19.6","-1.5","0"
NA,"229",2015-04-22,"14","-2.3","0"
NA,"233",2015-04-22,"10.8","-3.7","0"
NA,"248",2015-04-22,"18.5","-2.4","0"
NA,"249",2015-04-22,"13.7","-4.1","0"
NA,"250",2015-04-22,"18.4","-2","0"
NA,"251",2015-04-22,"17.9","-2.8","0"
NA,"252",2015-04-22,"18.5","-2.4","0"
NA,"253",2015-04-22,"16","-4.2","0"
NA,"254",2015-04-22,"18.5","-2.5","0"
NA,"255",2015-04-22,"18.4","-2.3","0"
NA,"256",2015-04-22,"18.5","-2.5","0"
NA,"257",2015-04-22,"14.9","-5.6","0"
NA,"258",2015-04-22,"15.9","-2.3","0"
NA,"259",2015-04-22,"14.1","-4.3","0"
NA,"271",2015-04-22,"21.7","1.3","0"
NA,"273",2015-04-22,"19.5","-0.2","0"
NA,"274",2015-04-22,"12.9","-1.8","0"
NA,"276",2015-04-22,"15.9","-0.9","0"
