"id","field_id","date","forecast_type","forecast_value","prediction_date"
NA,219,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,219,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,220,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,220,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,220,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,221,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,224,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,229,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,229,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,230,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,231,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,232,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,232,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,233,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,234,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,235,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,236,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,237,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,238,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,239,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,242,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,243,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,244,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,245,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,246,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,247,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,248,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,248,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,249,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,249,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,250,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,250,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,251,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,251,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,252,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,252,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,253,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,253,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,254,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,254,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,255,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,255,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,256,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,256,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,257,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,257,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,257,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,258,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,258,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,259,2015-04-30,"cat","Thunderstorm",2015-05-01
NA,259,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,260,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,261,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,262,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,263,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,264,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,265,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,266,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,267,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,268,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,269,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,270,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,273,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,274,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,275,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,276,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,277,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,278,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,279,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,280,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,281,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,297,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,306,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,312,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,312,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,313,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,314,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,315,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,316,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,317,2015-04-30,"cat","Thunderstorm",2015-04-30
NA,317,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,318,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,320,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,321,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,322,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,323,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,326,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,330,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,331,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,332,2015-04-30,"cat","Thunderstorm",2015-05-02
NA,333,2015-04-30,"cat","Thunderstorm",2015-05-02
